key;brand;model;4G_bands;EDGE;announced;dimentions;weight_g;SIM;display_resolution;display_size;OS;CPU;GPU;memory_card;internal_memory;RAM;primary_camera;secondary_camera;loud_speaker;audio_jack;bluetooth;GPS;NFC;radio;USB;sensors;battery;colors;approx_price_EUR;img_url
Acer Iconia Talk S;Acer;Iconia Talk S;LTE band 1(2100)| 3(1800)| 7(2600)| 8(900)| 20(800);Yes;2016  August;191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in);260;Dual SIM (Micro-SIM/Nano-SIM);7.0 inches (~69.8% screen-to-body ratio);720 x 1280 pixels (~210 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSD  up to 128 GB (dedicated slot);16/32 GB;2 GB RAM;13 MP| autofocus;2 MP| 720p;Yes;Yes;4.0| A2DP;Yes with A-GPS GLONASS;;FM radio;microUSB 2.0;Accelerometer| proximity;Non-removable Li-Ion 3400 mAh battery (12.92 Wh);Black;170;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg
Acer Liquid Z6 Plus;Acer;Liquid Z6 Plus; LTE;Yes;2016  August;153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in);169;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.5 inches (~71.7% screen-to-body ratio);1080 x 1920 pixels (~401 ppi pixel density);Android 6.0 (Marshmallow);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;microSD  up to 256 GB (uses SIM 2 slot);32 GB;3 GB RAM;13 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Fingerprint (front-mounted)| accelerometer| proximity;Removable Li-Po 4080 mAh battery;Black| White;250;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg
Acer Liquid Z6;Acer;Liquid Z6; LTE;Yes;2016  August;-;;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.25 GHz Cortex-A53;Mali-T720MP2;microSD  up to 256 GB;8 GB;1 GB RAM;8 MP| autofocus| LED flash;2 MP;Yes;Yes;Yes;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2000 mAh battery;Black| White;120;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg
Acer Iconia Tab 10 A3-A40;Acer;Iconia Tab 10 A3-A40;;No;2016  April;259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in);;No;10.1 inches (~68.4% screen-to-body ratio);1920 x 1200 pixels (~224 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720 MP2;microSD  up to 256 GB (dedicated slot);16/32/64 GB;2 GB RAM;5 MP;2 MP;Yes with stereo speakers (4 speakers);Yes;Yes;;;No;microUSB 2.0;Accelerometer;Non-removable Li-Ion battery;Black;230;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a40.jpg
Acer Liquid X2;Acer;Liquid X2; LTE 800 / 1800 / 2100 / 2600 - Europe;Yes;2015  April;153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in);166;Triple SIM (Micro-SIM);5.5 inches (~69.0% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 5.1 (Lollipop);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP4;microSD  up to 32 GB (dedicated slot);32 GB;3 GB RAM;13 MP| f/1.8| autofocus| LED flash| ;13 MP| f/1.8| autofocus| LED flash;Yes;Yes;4.0| A2DP| LE;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Po 4020 mAh battery;Black| Gold;230;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg
Acer Liquid Jade 2;Acer;Liquid Jade 2; LTE;Yes;2016  February;-;;Dual SIM (Nano-SIM| dual stand-by);5.5 inches;1080 x 1920 pixels (~401 ppi pixel density);Android 6.0 (Marshmallow);Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57);;microSD  up to 256 GB;32 GB;3 GB RAM;21 MP| autofocus| dual-LED flash;8 MP;Yes;Yes;4.0| A2DP| LE;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| gyro| proximity| compass;;Black;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-2.jpg
Acer Liquid Zest Plus;Acer;Liquid Zest Plus; LTE;Yes;2016  April;154 x 77 x 10 mm (6.06 x 3.03 x 0.39 in);;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.5 inches (~70.3% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSD (dedicated slot);16 GB;2 GB RAM;13 MP| phase detection/laser autofocus| LED flash;5 MP;Yes;Yes;Yes;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Non-removable Li-Ion 5000 mAh battery;Blue| White;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-zest-plus-z628.jpg
Acer Liquid Zest;Acer;Liquid Zest; LTE;Yes;2016  February;145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in);125;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.0 inches (~66.4% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz - Z525;Mali-400MP2 - Z525;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;8 MP| f/2.0| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Ion 2000 mAh battery;Black| White;110;http://cdn2.gsmarena.com/vv/bigpic/acer-zest.jpg
Acer Predator 8;Acer;Predator 8;;No;2015  September;217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in);3538;No;8.0 inches (~67.1% screen-to-body ratio);1920 x 1200 pixels (~283 ppi pixel density);Android 5.0 (Lollipop);Quad-core 1.6 GHz;;microSD  up to 256 GB (dedicated slot);32/64 GB;2 GB RAM;5 MP;2 MP;Yes with stereo speakers (4 speakers);Yes;4.0| A2DP| LE;;;No;microUSB 2.0;Yes;Non-removable Li-Po 4420 mAh battery;Black/Silver;350;http://cdn2.gsmarena.com/vv/bigpic/acer-predator-8.jpg
Acer Liquid Jade Primo;Acer;Liquid Jade Primo; LTE 800 / 1800 / 2100 / 2600 - Europe;Yes;2015  September;156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in);150;Dual SIM (Nano-SIM| dual stand-by);5.5 inches (~70.2% screen-to-body ratio);1080 x 1920 pixels (~401 ppi pixel density);Microsoft Windows 10;Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57);Adreno 418;microSD  up to 256 GB (uses SIM 2 slot);32 GB;3 GB RAM;21 MP| f/2.2| autofocus| dual-LED flash| ;8 MP| f/2.2| 1080p@30fps;Yes;Yes;4.0| A2DP| LE| EDR;Yes with A-GPS;;FM radio;3.1| Type-C 1.0 reversible connector;Accelerometer| gyro| proximity| compass;Non-removable Li-Po 2870 mAh battery;Black;220;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg
